"","Bacteroides_thetaiotaomicron","Faecalibacterium_prausnitzii","Bacteroides_fragilis","Fusicatenibacter_saccharivorans","Dorea_longicatena","Intestinimonas_butyriciproducens","Anaerostipes_hadrus","Collinsella_aerofaciens","Blautia_obeum","_Clostridium__scindens","Alistipes_finegoldii","Dielma_fastidiosa","Eubacterium_ramulus","Clostridium_paraputrificum","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_animalis","Lactobacillus_acidophilus","Lactobacillus_gasseri"
"sub_9002000001211391LL",0.53108,15.29481,0.00044,14.17773,2.33906,0,6.92147,0.01692,1.50054,0,0.34568,0,0.29391,0,0,0,0.19809,0.00973,0
"sub_9002000001211604LL",0,2.87835,0.0135,3.37012,2.6698,0,1.61216,11.35083,0.73639,0,0,0,0.23677,0,0.36865,0,0,0,0
"sub_9002000001211829LL",0.68501,8.64003,0,6.81943,3.16647,0,3.98899,6.66815,2.66562,0,0.89316,0,0.59189,0,0,0,0,0,0
"sub_9002000001212011LL",0,8.04634,0.01369,5.60201,2.72074,0.0039,1.28617,5.69,1.96068,0,0.49296,0,0.28113,0,0,0,0,0,0
"sub_9002000001212423LL",0.03743,0.70043,0,13.27753,5.36997,0,6.7922,10.03555,3.87962,0,0,0,0.80211,0,0.00275,0,0,0,0.00278
"sub_9002000001212880LL",0,3.34767,2.47873,1.34222,2.06131,0.04033,5.78174,0,0.67823,0,0,0,0.19776,0,0,0,0.25729,0,0
"sub_9002000001213019LL",0.16475,8.60027,1.22512,2.41893,3.41462,0,1.92402,5.70788,0.41725,0,0.02363,0,0.01642,0,0.71911,0,0,0,0
"sub_9002000001213378LL",0.03636,12.21956,0,2.6214,4.99345,0,1.79259,4.60961,0.28355,0,0.10077,0,0.2865,0,0,0,0,0,0
"sub_9002000001214562LL",0.56378,6.63368,0,6.92106,3.40255,0,2.55055,3.98687,0.84428,0,0.32354,0,0.41843,0,0,0,0,0,0
"sub_9002000001214606LL",0.21949,5.06591,0,5.88222,3.98591,0.00139,11.5669,3.98162,1.17887,0,0.01062,0,0.14998,0,0,0,0,0,0
"sub_9002000001214947LL",0.17115,15.55053,0,5.77654,4.0651,0,5.29654,0.02532,7.27792,0,0,0,0,0,0,0,0,0,0
"sub_9002000001215040LL",0.0168,7.80997,0,3.22915,0.8754,0,0.01554,11.835,0.71141,0,0.00784,0,0.19982,0,3.85262,0,0,0,0
"sub_9002000001215390LL",0,7.49641,0,4.42208,1.38517,0,1.46367,4.66151,1.06546,0,0.03,0,0.03072,0,4.47706,0,0,0,0
"sub_9002000001215523LL",0,7.13934,0.26292,1.7416,2.97667,0,4.75914,0.00568,2.21713,0.00331,0.01023,0,0.07723,0,0,0,0.00402,0,0
"sub_9002000001215882LL",0,6.12755,0,10.83848,5.90846,0,8.24403,0.00951,0.12642,0,0,0,0.4915,0,0,0,0.73422,0,0
"sub_9002000001215917LL",0.03876,5.29078,0.0821,4.34969,5.06821,0,0.70929,3.69701,0.14178,0,0.65365,0,0.09765,0,0,0,0,0,0
"sub_9002000001216389LL",0,8.83157,0,6.42507,5.6038,0,1.48052,3.70912,1.31429,0,0.27249,0,0.37013,0,6.23945,0.07237,0,0,0
"sub_9002000001216469LL",0,5.25335,0.27757,8.14705,5.0307,0.01067,1.94285,11.57755,1.05913,0,0.09598,0,1.15076,0,6.11341,0,0,0,0
"sub_9002000001216790LL",0,16.49372,0,1.63345,0.94308,0,0.74419,20.25568,1.53081,0,0.00161,0,0.01478,0,8.99763,0,0,0,0
"sub_9002000001217457LL",0.04426,8.8938,0,10.35887,2.83577,0,4.93843,7.09951,8.00872,0,0.00124,0,0.02562,0,0,0,0,0,0
"sub_9002000001218033LL",0.13196,1.25855,0,0,4.22991,0,1.39148,0.01463,0.09319,0,0.41925,0,0,0,0,0,0,0,0
"sub_9002000001219863LL",0.03895,7.11698,0,11.24607,1.03044,0,6.40892,1.97553,1.39209,0,0.44042,0,0.14171,0,0,0,0,0,0
"sub_9002000001220031LL",0.68397,7.65921,0,11.57791,1.87457,0.00281,6.92008,4.09489,2.46402,0,0.13903,0,0.11199,0,0,0,0,0,0
"sub_9002000001222690LL",0,7.12665,0,4.50148,8.60622,0,1.03816,24.2944,2.44673,0,0,0,0.70534,0,0,0,0,0,0
"sub_9002000001223042LL",0.06333,8.02762,0,1.52632,6.42174,0,3.9239,12.43013,1.27875,0,0.22902,0,0.66468,0,0,0,0,0,0
"sub_9002000001223445LL",0,7.97877,0,3.90265,4.09852,0,1.56182,15.16115,1.04371,0,0.0394,0,0.2096,0,8.95912,0,0,0,0
"sub_9002000001223900LL",0.0237,5.15551,0.33594,0.00367,3.07151,0,0.9271,0.03158,1.64818,0.00283,0.68388,0,0,0,0,0,0,0,0
"sub_9002000001224326LL",0.0187,13.25913,0,1.97433,4.4904,0,0.90092,8.70322,5.39231,0,0.03146,0,0.09123,0,0,0,0,0,0
"sub_9002000001224907LL",0,11.15688,0,6.4041,4.03383,0,10.01258,14.58111,6.16023,0,0.90355,0,0.06412,0,0,0,0,0,0
"sub_9002000001225234LL",0.21644,6.26258,0,3.79319,3.80746,0,1.33497,7.30905,1.48802,0,0.02865,0,0.20664,0,0,0,0,0,0
"sub_9002000001225468LL",0.02858,3.7325,0,0.54935,4.02788,0,1.73942,4.60456,1.45302,0,0.661,0,0.21274,0,0,0,0,0,0
"sub_9002000001225833LL",0.07063,8.23557,0,0.48112,2.64027,0,3.45652,10.35348,1.82959,0,0.0329,0,0.15722,0,0,0,0,0,0
"sub_9002000001226278LL",0,12.39008,0,4.73201,3.6458,0,1.14817,5.50402,1.17207,0,0.22762,0,0.08685,0.00304,0,0,0,0,0
"sub_9002000001226394LL",0.41291,1.40585,0,0.09477,1.94495,0,0.72429,3.60776,1.1339,0,0.0884,0,0.17935,0,0,0,0.38579,0,0
"sub_9002000001226607LL",1.16691,6.70874,0.33579,5.29597,2.49995,0.11545,4.35006,1.93195,0.84375,0,0.17143,0,0.37816,0,0,0,0.00368,0,0
"sub_9002000001226939LL",0.07994,2.31622,0,2.92436,1.144,0,2.63242,5.90342,0.13095,0,0.03402,0,0.00155,0,5.27518,0,0,0,0
"sub_9002000001227800LL",0.00867,5.65209,0,3.38661,6.78238,0,0.57319,7.81497,0.98083,0,0.02132,0,0.20386,0,0,0,0,0,0
"sub_9002000001227810LL",0.05963,7.43773,0,7.46058,4.77458,0,4.13936,5.95014,1.55907,0,0.02136,0,0.86479,0,0,0,0,0,0.13803
"sub_9002000001227892LL",0.04245,4.9671,0,5.08352,3.33526,0,1.61277,7.82992,0.25037,0,0.08801,0,0.15433,0,1.50025,0,0,0,0
"sub_9002000001228076LL",0.08478,11.51861,0,3.59293,1.43436,0.03518,5.01097,3.52775,0,0,0.05712,0,0.41694,0,0,0,0.29643,0,0
"sub_9002000001228094LL",0.03861,2.25752,0,8.27582,11.97767,0,11.80305,4.2141,9.71622,0,0,0,0.18683,0,0,0,0,0,0
"sub_9002000001228174LL",0,0.74987,0,6.99586,1.48812,0,2.87943,20.32496,0.73531,0,0,0,0.34962,0,0,0,0,0,0
"sub_9002000001228512LL",0.05721,3.4103,0,6.68443,2.3886,0,3.47361,4.33412,2.65225,0,0.21707,0,0.09476,0,0,0,0,0,0
"sub_9002000001228915LL",0.42298,5.21611,0.64902,0.5138,2.52219,0.0226,0.20399,6.15954,0.61406,0,0.42858,0,0.1786,0,0,0,0,0,0
"sub_9002000001229707LL",0.06568,13.48309,0,11.47119,0.91319,0.02177,0.03852,8.57957,1.10519,0,0.03378,0,0.11361,0,0,0,0,0,0
"sub_9002000001230056LL",0.06718,6.0095,0,1.39888,1.44757,0.12442,3.98652,0.99498,0.93303,0,0.81045,0,0.05048,0,0,0,0.4031,0,0
"sub_9002000001230350LL",0.02835,6.93686,0.17351,7.99994,2.51435,0,9.21989,0.00446,1.07091,0.00171,0.00122,0,0.0442,0,0,0.01159,0,0,0
"sub_9002000001230646LL",0.14173,1.31648,0.35959,1.83389,5.79146,0.18907,4.41487,9.22033,0.44277,0,0.25521,0,0.46629,0,0,0,0,0,0
"sub_9002000001231376LL",0.03097,6.07756,0,11.34791,6.76841,0,5.36769,0.00673,4.11679,0,0,0,0.5074,0,0,0,0,0,0
"sub_9002000001231625LL",0,4.48372,0.28259,4.7155,1.3292,0,0.60908,3.47425,2.84699,0,0.39144,0,0.04769,0,0,0,0,0,0
"sub_9002000001231803LL",0.00017,24.5794,0,13.6837,5.33734,0,1.38992,5.60278,4.61454,0,0,0,0.19212,0,0,0,0,0,0
"sub_9002000001232168LL",0.00683,6.8043,0.19628,4.1451,1.08443,0,1.7984,0.93374,3.72517,0,0.42525,0,0.6798,0,0,0,0,0,0
"sub_9002000001232275LL",0,12.86403,0.03949,8.24533,3.53614,0,4.41074,5.00111,0.54931,0,0.01259,0,0.28089,0,0,0,0.37319,0,0
"sub_9002000001232570LL",0.25729,6.91963,0.13027,4.72568,3.38479,0,3.741,4.04021,0.76845,0,0.09256,0,0.35683,0,0,0,0.71231,1.11912,0
"sub_9002000001232622LL",0,6.58538,0,3.44406,2.12358,0,0.35164,9.97716,1.29963,0,0,0,0.14044,0,1.35723,0,0,0,0
"sub_9002000001233030LL",0.60555,4.40256,0.66053,0.39068,1.97317,0.01754,0.18481,4.06351,0.52108,0,0.37297,0,0.17926,0,0,0,0,0,0
"sub_9002000001233100LL",0.04386,8.6686,0,6.23243,7.1998,0,2.38712,12.152,2.90284,0,0.08227,0,0.59537,0,0,0,0,0,0
"sub_9002000001233352LL",0,0.31939,0,6.92825,2.14887,0,3.11286,4.69738,5.18079,0,0.66693,0.10349,0.13564,0,0,0,0,0,0
"sub_9002000001233610LL",0.19452,5.80224,0.14174,5.92725,5.22932,0,2.28364,1.51176,4.59472,0,1.00199,0,0.01051,0,6.4907,0,0.05536,0,0
"sub_9002000001234064LL",0,2.41314,0,1.80659,0.41563,0,14.83833,18.23256,4.97866,0,0.00624,0,0.01271,0,0,0,0,0,0
"sub_9002000001234485LL",0.04116,5.91273,0,0.00627,7.91648,0,2.88497,5.08864,8.05341,0,0.97406,0,0,0,0.0032,0,0.80907,0,0
"sub_9002000001234897LL",1.25368,2.76465,0,4.00688,0.58444,0.00444,4.10429,8.73284,2.70444,0,0.01476,0.01291,0.20677,0,1.72917,0,0.04663,0.1866,0
"sub_9002000001235221LL",0.01733,5.58726,0,5.40716,1.29062,0.00361,0.95479,5.31488,0.65089,0,0.0146,0,0,0,0,0,0,0,0
"sub_9002000001235670LL",3.06262,4.12899,1.16646,3.60475,2.77138,0,1.7982,6.09475,1.38392,0,0.16804,0,0.0559,0,5.52776,0,0,0,0
