"","Bacteroides_thetaiotaomicron","Faecalibacterium_prausnitzii","Bacteroides_fragilis","Fusicatenibacter_saccharivorans","Dorea_longicatena","Intestinimonas_butyriciproducens","Anaerostipes_hadrus","Collinsella_aerofaciens","Blautia_obeum","_Clostridium__scindens","Alistipes_finegoldii","Dielma_fastidiosa","Eubacterium_ramulus","Clostridium_paraputrificum","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_animalis","Lactobacillus_acidophilus","Lactobacillus_gasseri"
"IBD_108",0.91668,0.99931,0,0,0,0.02471,0,0.01532,0,0,0,0,0,0,0,0,0,0,0
"IBD_109",0.90122,0.74371,0,0,0,0.00173,0,0.01804,0,0,0.00032,0,0,0,0,0,0,0,0
"IBD_110",0,9.46994,0,0.01129,0.01699,0,0.09017,0,0,0,2.02855,0,0,0,0,0,0,0,0
"IBD_111",13.3291,0,7.37594,0,0.16218,0,0.01151,0,0,0,0,0,0,0,0,0,0,0,0
"IBD_112",21.5916,0,8.09754,0,1.3976,0,0.3491,0.04782,0,0.0451,0,0,0,0,0,0,0,0,0
"IBD_113",7.8498,0,9.33689,0,0.31088,0,0.6036,0.08076,0,0,0,0,0,0,0,0,0,0,0
"IBD_114",12.38255,0,11.26469,0,0.0897,0,0.3036,0.01273,0,0,0,0,0,0,0,0,0,0,0
"IBD_115",0.87802,4.96363,0.99561,0.27888,0.63614,0,0,0,0.04084,0,0.34157,0,0,0,0,0,0,0,0
"IBD_116",1.39357,9.28305,0,0.28639,0.81136,0.00025,0,0,0.20164,0,0.36242,0.02951,0,0,0,0,0,0,0
"IBD_117",0.40939,7.46819,0.22749,0.35464,1.30817,0,0,0,0.11183,0,0.10271,0,0,0,0,0,0.01353,0,0
"IBD_118",12.98578,11.04322,0,0.0751,0,0.3566,0,0.04065,0,0,0.12961,0,0,0,0,0,0.04676,0,0
"IBD_119",1.95264,3.08859,1.45214,0.10491,0.00498,0,0,0.00538,0.00468,0,5.47111,0,0,0,0.02331,0,0,0,0
"IBD_120",0,1.18307,0,0.22264,0.06246,0.00078,0.13022,0.03628,0,0,0.00042,0,0,0,0,0,0,0,0
"IBD_121",0,0.95717,0,0.23399,0.01956,0.01091,0.12107,0.01083,0,0,0,0,0,0,0,0,0,0,0
"IBD_122",0,1.09145,0,0.17886,0.1669,0.08924,0.11474,0.07161,0,0,0,0,0,0,0,0,0,0,0
"IBD_123",0,7.80481,0,0.19817,2.1741,0,1.16394,0.3446,0,0,0,0,0,0,0,0,0,0,0
"IBD_124",0,12.55704,0,0.15748,0.64896,0,0.22112,0.32872,0,0,0,0,0,0,0,0,0,0,0
"IBD_125",0,1.74223,0,0.13253,0.15589,0,0.23537,0.41579,0,0,0.00103,0,0,0,0,0,0,0,0
"IBD_126",9.89953,1.00192,0.06258,0.08361,0.00688,0.02032,0.01473,0.00237,0,0,1.05301,0.041,0.03908,0,0,0,0,0,0
"IBD_127",0.77762,5.63348,0,0.73618,0.15352,0.01041,0.32633,0.02013,0.26778,0,0.42073,0,0.00164,0,0.03928,0,0,0,0
"IBD_128",1.46544,7.54495,0,0.00969,0.031,0.21355,0.02175,0.0247,0,0,0.21849,0,0,0,0,0,0,0,0
"IBD_129",3.66888,0,1.02405,0,0,0.56344,0,0,0,0.01074,0.85729,0.08123,0.22844,0,0,0,0,0,0
"IBD_130",5.30745,0,1.45481,0,0,0.0802,0,0,0,0,0.37331,0,0.01555,0,0,0,0,0,0
"IBD_131",1.74308,4.59293,3.05846,0.85496,0.74617,0,3.72304,0.7185,2.57145,0,0,0,0.15478,0,0.00548,0,0,0,0
"IBD_132",1.19865,5.73985,1.54137,0.52635,0.09117,0,0.74858,0.25061,1.4124,0,0,0,0,0,0,0,0,0,0
"IBD_133",0.60904,40.72321,2.1379,1.84294,0.14799,0,1.29128,1.46363,1.08382,0,0,0,0,0,0.03626,0,0,0,0
"IBD_134",0.63633,37.09203,1.99534,2.02242,0.22749,0,1.36438,1.64882,1.09849,0,0,0,0,0,0.0392,0,0,0,0
"IBD_135",0.72562,34.10898,1.80589,2.35877,0.2885,0,1.80077,1.71035,1.38825,0,0,0,0,0,0.03503,0,0,0,0
"IBD_136",1.27354,8.27962,2.47844,2.92327,0.29694,0,3.34895,0.82891,0.98714,0,0.01827,0,0.02439,0,0,0,0,0,0
"IBD_137",1.19348,6.92248,2.46405,3.49816,0.45384,0,3.6196,0.40459,1.00765,0,0.00246,0,0.03852,0,0,0,0,0,0
"IBD_138",0.79853,9.31535,0.62573,2.31475,0.27128,0,3.9454,1.21539,3.73559,0,0.00805,0,0.00931,0,0.00073,0,0,0,0
"IBD_139",0.03436,7.15113,0.4292,0.15031,0.07268,0.00286,0.45689,0.02506,0.03893,0,1.36877,0.06248,0.0101,0,0,0,0.01514,0.00639,0
"IBD_140",0.03541,5.14657,0.25652,0.22748,0.01341,0,0.16,0.03712,0.0074,0,0.02441,0.30662,0.00429,0,0,0,0,0,0
"IBD_141",0.02089,10.73194,0.7086,0.34108,0.04853,0.00472,0.06191,0.05321,0.103,0,0.89491,0.01366,0,0,0,0,0,0,0
"IBD_142",5.04823,0.02405,20.64129,8.03336,0.02364,0.79875,1.06648,0,0,0,16.37943,0,0,0,0,0,0,0,0
"IBD_143",0.18724,9.09963,0,0.55751,0.50169,0.00068,0.2353,0.09186,0.31797,0,0.94771,0,0,0,0.10262,0,0,0,0
"IBD_144",15.9854,0.11549,4.24346,0.02759,0.00928,0,0.21899,0,0,0,0.82687,0,0,0,0,0,0,0,0
"IBD_145",1.0416,5.36821,2.25965,1.09445,0.02474,0.54264,0.14804,0.06708,0.01534,0,0,0,0,0,0,0,0,0,0
"IBD_146",0,8.66177,0,0.40257,0,6.55186,0,0.49314,0.06359,0,0,0,0,0,0,0,0,0,0
"IBD_147",0,13.44386,0,0.19104,0.02774,5.9495,0,0.80667,0.12474,0,0,0,0,0,0,0,0,0,0
"IBD_148",0,9.17227,0,0.28151,0.14829,4.80299,0.07894,0.50489,0.30472,0,0,0,0,0,0,0,0,0,0
"IBD_149",0,6.59224,0,0.03664,0,4.30651,0,0.05623,0,0,0,0,0,0,0,0,0,0,0
"IBD_150",0,0.56925,0,0,0,0.52992,0,0,0,0,0,0,0,0,0,0,0,0,0
"IBD_151",0,2.2406,0,0.19505,0.65208,0.49496,0,0,0.05518,0,0,0,0,0,0,0,0,0,0
"IBD_152",0,0.24675,0,0,0.01971,0.05644,0,0.01109,0,0,0,0,0,0,0,0,0,0,0
"IBD_153",7.88694,1.3939,2.388,0.29207,0.04081,0.14479,0.20651,0,0,0,7.88936,0,0,0,0,0,0,0,0
"IBD_154",2.06126,0.63406,0.1397,0.06306,0.05471,0.58936,0.0312,0.03376,0,0,2.42269,0,0,0,0.01163,0,0,0,0
"IBD_155",2.0819,0,0,0,0.00409,0.26279,0.02028,0.00853,0,0,0.64964,0,0,0,0,0,0,0,0
"IBD_156",4.05478,0.05397,0,0.03718,0.2989,0.45101,0.27922,0.02051,0,0,2.79832,0,0,0,0,0,0,0,0
"IBD_157",2.10139,0,0,0.09229,0.12493,0.43136,0.3621,0.02239,0,0,1.28564,0,0,0,0,0,0,0,0
"IBD_158",0.57443,3.56408,0.65145,0.15286,0.37256,0.00776,0.06569,0.00186,0,0,4.14362,0,0,0,0,0,0,0,0
